"频道名称","粉丝数","简介","邮箱","国家"
"TEDx Talks","44600000","TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.","","United States"
"Blippi - Educational Videos for Kids","27500000","Come explore the wondrous world with everybody's best friend, Blippi. How does a recycling truck work? What does a baker do? What is the best playground around? There are so many exciting things to explore and learn. Feed your kids’ curiosity while they learn about vehicles, animals, the natural world and so much more. Blippi helps children‘s understanding of the world and encourages vocabulary development. Blippi loves visiting exciting places such as children’s museums and the zoo! He loves singing, dancing, playing and exploring. His contagious curiosity engages young viewers in learning adventures that help them both grow and develop.

Music ► https://blippi.lnk.to/BlippiCompleteCollectionYT
Facebook ► https://www.facebook.com/Blippi 
Instagram ►https://www.instagram.com/Blippi
TikTok ► https://www.tiktok.com/@blippi
Moonbug ► https://www.moonbug.com/about","hello@moonbug.com; partnerships@moonbug.com; press@moonbug.com","United States"
"Animal Planet","20658072","Animal Planet is the world's only entertainment brand that immerses viewers in the full range of life in the animal kingdom with rich, deep content via multiple platforms and offers animal lovers and pet owners access to a centralized online, television and mobile community for immersive, engaging, high-quality entertainment, information and enrichment.","",""
"CNN","19800000","CNN is the world leader in news and information and seeks to inform, engage and empower the world. Staffed 24 hours, seven days a week by a dedicated team in CNN bureaus around the world, CNN delivers news from almost 4,000 journalists in every corner of the globe.","","United States"
"Blippi Playtime","15300000","Get ready to play, learn, and explore with Blippi Playtime! The ultimate stop for fun and adventures! Watch and learn as Blippi answers your favorite questions: How does a recycling truck work? Can Blippi drive an excavator? What awesome games can we play at the indoor playground? From roaring dinosaurs and prehistoric fossils to arts and crafts, there are so many exciting things to learn through active play and sensory activities.

Feed your kid’s curiosity with STEM activities, wild animal facts, and super fun Roblox gaming! With high-energy sing-alongs and silly games, Blippi Playtime makes vocabulary development and early childhood education a total blast. Join the fun at the zoo, the children's museum, the trampoline park, or the giant ball pit. Learning colors, shapes, and numbers has never been this fun. 

Let's be curious with Blippi! 🧡💙","","United States"
"Nat Geo Animals","15267518","Explore the wonders of the animal kingdom with National Geographic. National Geographic Animals is a place for all things animals and for animal-lovers alike. Take a journey through the animal kingdom with us and discover things you never knew before, or rediscover your favorite animals!","",""
"WIRED","13000000","For future reference.","","United States"
"Kat","12300000","just a diva who loves games

🔲 ADD ME ON ROBLOX: @katrinaducks
https://www.roblox.com/users/3214877242/profile

💌 CONTACT ME: kat@katbuno.com

FOLLOW ME ON OTHER SOCIALS!
❤️ instagram: @katrinabuno
👻 snapchat: @katrinabuno
🎶 tiktok: @katbuno
🐦 twitter: @katbuno

Hi and welcome to the official Kat YouTube channel! My name is Katrina Buno, but you can call me Kat! I post a variety of content including gaming videos, shorts, reactions and more!","kat@katbuno.com","United States"
"LaurenZside","10400000","Welcome to the Z-Side of YouTube...it's a little weird here!!
Make sure to SUBSCRIBE!! I put out new videos every Thurs-Sun!!

My name is Lauren & I'm a self-proclaimed ""Gaming Comedian"".
I'm here to make you laugh whether with me or at me ;)","","United States"
"Dr. Harish Grover","8000000","Dr. Harish Grover – Posture & Spine Alignment Specialist | Best Chiropractor in India 🇮🇳.

Get expert chiropractic and spine alignment treatment from Dr. Harish Grover, a renowned Chiropractor in Gurgaon and founder of Painflame Clinic.

Book Your Appointment Today
📍 Sector 38, Gurgaon (In-Clinic):  +91-8505830784    |   +91-9560634383
📍 Paschim Vihar, Delhi (In-Clinic):  +91-8796301110
 💻 Online Video Consultation:  +91-9205995900

Follow us: 
🌐   www.painflame.com
        www.instagram.com/painflameclinic/ 
         www.facebook.com/chiropractorharishgrover/

 Dr. harish grover social media :
       www.instagram.com/drharishgroverchiropractor/
        www.facebook.com/drharishgroverchiropractic

Email : painflameclinic@gmail.com
Address : P195, Medicity, Sector 38, Gurugram, Haryana 122003

DR. HARISH GROVER
Ph.D. ( Spine )
M.Chiro, CCE ( USA )
DO ( Osteopathy )
Certified Chiropractor
Registered Osteopath","growwithus@painflame.com; painflameclinic@gmail.com","India"
