"频道名称","粉丝数","简介","邮箱","国家"
"MrBeast","517000000","SUBSCRIBE FOR A COOKIE!
New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!
Accomplishments:
- Raised $20,000,000 To Plant 20,000,000 Trees
- Removed 30,000,000 pounds of trash from the ocean
- Helped 2,000 people walk again
- Helped 1,000 blind people see
- Helped 1,000 deaf people hear
- Built wells in Africa
- Built and gave away 100 houses
- Adopted every dog in a shelter (twice)
- Given millions to charity
- Started my own snack company Feastables
- Started my own software company Viewstats
- Gave away a private island (twice)
- Gave away 1 million meals
- I counted to 100k
- Ran a marathon in the world's largest shoes
- Survived 50 hours in Antarctica
- Recreated Squid Game in real life
- Created the largest competition show with 1000 people (Beast Games)
- Gave $5,000,000 to one person
- Raised $40,000,000 To Bring Clean Water To Millions Of People
- Granted 100+ Dream Wishes for Kids Fighting Cancer
- Gave Away Another $5,000,000 On Beast Games S2","","United States"
"Toys and Colors","83000000","Hello friends! Welcome to Toys and Colors where KIDS RULE and adults drool…just kidding…we love our Aunties and Uncles!

Click on the SUBSCRIBE button and come join us in our fun and colorful universe where we pretend play, use our imagination, sing, dance, and have a great time with friends, family, and lots of TOYS!

We have millions of fans all over the world who enjoy our fun kids videos about: being a good brother and sister, DIY science experiments, eating healthy, washing your hands, numbers, ABCs, animals, nursery rhyme songs,  fun challenges, camp adventures, and much more!

Are you ready? LET’S PRETEND PLAY!","","United States"
"Genevieve's Playhouse - Learning Videos for Kids","51000000","Welcome to Genevieve’s Playhouse where we create all kinds of educational videos for kids and toddlers using toy based learning. Come along as Genevieve plays with characters from Paw Patrol and Peppa Pig, while learning counting numbers, basic words, and storytelling skills. Our video formats span from vlogs, skits, animations, and experiments. Videos are offered in English, Spanish, Hindi, and Vietnamese.

Genevieve's Playhouse is a safe, and kid-friendly channel that parents can trust to provide educational content for their little ones.","","United States"
"TEDx Talks","44600000","TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.","","United States"
"BabyBus - Preschool Songs & Learning Cartoons","44000000","At BabyBus, our goal is to make learning a fun and imaginative experience for kids aged 2 - 6 by creating classic nursery rhymes, kid songs, and stories with 2D & 3D animations. 

In the BabyBus world, KiKi, Miumiu, and their friends inspire kids to experience true friendship, care, creativity, and imagination in a fun and smart way. Through our songs and animations, kids around the world can learn about colors, letters, life skills, good habits, safety tips, and more in a fun and educational way.

In the eyes of Kiki and Miumiu, all things are alive: you can talk to animals, you can make friends with vehicles... All the activities can be enjoyed, you can experience different occupations, you can go everywhere... All the unknowns are interesting: what will be in space? Are there aliens on earth?... Join Kiki and Miumiu for the exploration of this world together!

Yes! Neo Official Facebook: https://www.facebook.com/yesneoofficial","","United States"
"Jordan Matter","38000000","My daughter has taken over my channel!","info@jordanmatter.com","United States"
"jacksepticeye","31200000","I play videogames but I also make other content like Try not to laugh, reacting to tik toks, meme review and IRL content. A lot of people come to my channel for long let's plays, especially for Sony Exclusive games from Playstation.","info@topofthemornincoffee.com","Ireland"
"Sesame Street","30300000","Welcome to Sesame Street! A colorful community of monsters, birds, grouches, and humans. A place where everyone counts. Spend time with all your favorite furry friends and subscribe for new videos every week. 

For more fun games and videos for your preschooler in a safe, child-friendly environment, visit us at http://www.sesamestreet.org. 

With a signature mix of laughter and learning, Sesame Street has been enriching minds and bringing families closer for five decades. Rigorously researched and deeply inclusive, Sesame Street has become the most-watched children’s program in history. For more information, please visit sesameworkshop.org.","","United States"
"Disney Jr.","28300000","You're watching Disney Jr.! Check out the official Disney Jr. YouTube every day for live streams, full episodes, show clips, shorts, and compilations from Mickey Mouse Clubhouse+, Marvel's Iron Man and his Awesome Friends, Sofia the First: Royal Magic, Pixar Cars, Gracie's Corner, Megan and Cupcakes, Me & Mickey, Disney Jr.'s Ariel, BeddyByes, Magicampers, Marvel's Spidey and his Amazing Friends, SuperKitties, Star Wars: Young Jedi Adventures and Pupstruction!

Available on Disney+
https://www.disneyplus.com/whats-on

Keep up with our new videos here: https://youtube.com/playlist?list=PL2m1vjiMH_hNEEv_Kr3YN30D-CktoOCU0

Thank you for watching Disney Jr.!","","United States"
"Blippi - Educational Videos for Kids","27500000","Come explore the wondrous world with everybody's best friend, Blippi. How does a recycling truck work? What does a baker do? What is the best playground around? There are so many exciting things to explore and learn. Feed your kids’ curiosity while they learn about vehicles, animals, the natural world and so much more. Blippi helps children‘s understanding of the world and encourages vocabulary development. Blippi loves visiting exciting places such as children’s museums and the zoo! He loves singing, dancing, playing and exploring. His contagious curiosity engages young viewers in learning adventures that help them both grow and develop.

Music ► https://blippi.lnk.to/BlippiCompleteCollectionYT
Facebook ► https://www.facebook.com/Blippi 
Instagram ►https://www.instagram.com/Blippi
TikTok ► https://www.tiktok.com/@blippi
Moonbug ► https://www.moonbug.com/about","hello@moonbug.com; partnerships@moonbug.com; press@moonbug.com","United States"
"National Geographic","26400000","Step into wonder and find your inner explorer with National Geographic. 

National Geographic is the world's premium destination for science, exploration, and adventure. Welcome to the National Geographic community, where we bring our stories, images and video to the world in real-time, inviting followers along on our ongoing 138-year journey. Our yellow border is a portal to the world, showcasing all of the wonder and beauty that it has to offer. This page allows our fans to join us while promoting an enriching and supportive climate for our community. Therefore, we do not tolerate words of hate, harassment or disparagement. We reserve the right to remove any posting or other material that we find off-topic, inappropriate or objectionable.","","United States"
"Brave Wilderness","21800000","Brave Wilderness is your one stop connection to a wild world of adventure and amazing up close animal encounters! 

Follow along with Coyote Peterson and Mark Vins as they lead you on a variety of expeditions featuring everything from Grizzly Bears and Crocodiles to King Cobras and Murder Hornets! Every single episode offers an opportunity to learn something new about incredible species that call our planet home.
      
So SUBSCRIBE NOW and join the adventure that brings you closer to the most beloved, bizarre and misunderstood creatures on earth! 

Be Brave, Stay Wild!
 
Join the Brave Crew by becoming a member today - http://bit.ly/JOINBWM","contact@bravewilderness.com","United States"
"CookieSwirlC","21400000","⋆◕‿◕⋆ 
Hi I’m Cookie. 
Welcome to CookieSwirlC: I’m a lifelong collector who loves diving into scary games, haunted stories, and creative art junk journaling. I also love testing out new miniatures, craft kits, and collectibles— whether they’re spooky, nostalgic, or just plain weird.  Come join the fun!

🍪 TWITER: @cookieswirlc

CookieSwirlC does NOT have a Roblox star code, Facebook, Snapchat , TikTok, or PO Box address ! Be smart and safe online!

_____________________
Virtual Youtuber Avatar Art by Twitter Artist : @rin7914
Avatar Rigged by Live2D Twitter : @iron_vertex (@sei_soy & @Zenseikun) 
Banner, logo, intro/outro art: UwU Media","","United States"
"Animal Planet","20658072","Animal Planet is the world's only entertainment brand that immerses viewers in the full range of life in the animal kingdom with rich, deep content via multiple platforms and offers animal lovers and pet owners access to a centralized online, television and mobile community for immersive, engaging, high-quality entertainment, information and enrichment.","",""
"ABC News","19800000","ABC News is your daily source for breaking national and world news, exclusive interviews and 24/7 live streaming coverage that will help you stay up to date on the events shaping our world. https://abcnews.com","","United States"
"The Dodo","18800000","The home for animal people.","","United States"
"Come Play With Me","18000000","COME PLAY WITH ME is an educational kid friendly toy doll channel featuring parody videos with various characters: Elsa, Anna, Barbie and many more!
Subscribe, it's free and you will know when we upload a new video:)
Thank you for visiting and watching our videos!","","United States"
"BBC","15600000","The BBC is the world’s leading public service broadcaster.

We’re impartial and independent, and every day we create distinctive, world-class programmes and content which inform, educate and entertain millions of people in the UK and around the world.

SUBSCRIBE to our YouTube channel to get the best of BBC entertainment and comedy programmes, stories from science and nature documentaries, and much more! 👉 https://bit.ly/2IXqEIn

Get ALL your fresh TV, and sofa-hugging box sets on iPlayer 👉 https://bbc.in/2J18jYJ","","United Kingdom"
"Blippi Playtime","15300000","Get ready to play, learn, and explore with Blippi Playtime! The ultimate stop for fun and adventures! Watch and learn as Blippi answers your favorite questions: How does a recycling truck work? Can Blippi drive an excavator? What awesome games can we play at the indoor playground? From roaring dinosaurs and prehistoric fossils to arts and crafts, there are so many exciting things to learn through active play and sensory activities.

Feed your kid’s curiosity with STEM activities, wild animal facts, and super fun Roblox gaming! With high-energy sing-alongs and silly games, Blippi Playtime makes vocabulary development and early childhood education a total blast. Join the fun at the zoo, the children's museum, the trampoline park, or the giant ball pit. Learning colors, shapes, and numbers has never been this fun. 

Let's be curious with Blippi! 🧡💙","","United States"
"Nat Geo Animals","15267518","Explore the wonders of the animal kingdom with National Geographic. National Geographic Animals is a place for all things animals and for animal-lovers alike. Take a journey through the animal kingdom with us and discover things you never knew before, or rediscover your favorite animals!","",""
"Inside Edition","13800000","Inside Edition is television's longest-running, top-rated, and most-honored syndicated newsmagazine. #1 in News and Politics on YouTube (Tubular Labs).","","United States"
"NBC News","12100000","Every day, NBC News helps people understand what’s happening and why it matters — through fact-based reporting, meaningful conversations, and powerful stories. From its leading news broadcasts — TODAY, NBC Nightly News, Meet the Press, and Dateline — to NBC News NOW, the 24/7 streaming news channel, plus chart-topping podcasts, the NBC News app, and NBCNews.com, NBC News keeps audiences informed and connected to the stories shaping our world. 

NBC News. Reporting for America.

Connect with NBC News:
NBC News App: https://smart.link/5d0cd9df61b80
Breaking News Alerts: https://link.nbcnews.com/join/5cj/breaking-news-signup?cid=sm_npd_nn_yt_bn-clip_190621
Visit NBCNews.com: http://nbcnews.to/ReadNBC
Find NBC News on Facebook: http://nbcnews.to/LikeNBC
Follow NBC News on Twitter: http://nbcnews.to/FollowNBC
Follow NBC News on Instagram: http://nbcnews.to/InstaNBC","Cory.Fernandez@nbcuni.com",""
"Business Insider","10600000","Business Insider is a global newsroom covering business, technology, and the economy. We help ambitious, curious people stay informed, understand the context, and get ahead.

Our videos break down how industries operate, how decisions get made, and how power and money move across the globe. We report on the companies, people, and trends shaping the world — and explain what it means for your work, money, and future. We publish videos weekly.

Expect explainers, deep dives, and original reporting on AI, markets, leadership, and innovation. Shows include Risky Business, Still Standing, Boot Camp, and So Expensive.

Topics include: business news, tech, AI, markets, finance, leadership, startups, and the global economy.

Visit us: https://www.businessinsider.com/?utm_source=youtube and sign up for newsletters: https://www.businessinsider.com/subscription/newsletter?utm_source=youtube

For licensing requests, contact PARS International: https://www.parsintl.com/publications/insider/","","United States"
"LaurenZside","10400000","Welcome to the Z-Side of YouTube...it's a little weird here!!
Make sure to SUBSCRIBE!! I put out new videos every Thurs-Sun!!

My name is Lauren & I'm a self-proclaimed ""Gaming Comedian"".
I'm here to make you laugh whether with me or at me ;)","","United States"
"Funny Sofia Show","9940000","","","United States"
"Robocar POLI TV","9910000","✔ Shop Official Robocar Poli Toys ⬇
https://amzn.to/3jwv8Yj
-
Robocar POLI is a story about a police car, a fire truck, an ambulance, and a helicopter that can transform into robots to help friends in danger and solve problems. Through the story, Robocar POLI delivers valuable messages such as love, friendship, trust, forgiveness, consideration, compromise, communication, cooperation, etc. to help with the emotional, cognitive, and moral growth of children.

Full & Whole Episodes Available on Robocar POLI: Official Video App
☞ Download from Google Play(Android) http://go9.co/P4m  
☞ Download from Appstore(iOS) http://go9.co/P4n","","United States"
"Smosh Pit","9620000","Welcome to the Smosh Pit. It's like our other channel, but...different? Get to know us and try not to laugh. New videos every Tuesday, Thursday, and Saturday.","","United States"
"The Pet Collective","9580000","We’re the happy place for animal lovers.  You’ll always find real pets, real joy and real moments that remind you why animals make life better, here at The Pet Collective.  

✨💕🐶Subscribe to The Scoop for our most entertaining pet videos, helpful pet parenting tips, and exclusive deals delivered straight to your email: https://bit.ly/TPCNewsLetter 😹❤️✨

Has your pet taken over your Instagram feed? Submit your best pet videos for a chance to be featured on TPC: 
https://www.thepetcollective.com/submit-a-video/

All your TPC needs can be found right here: https://linktr.ee/thepetcollective 

For inquiries regarding advertising or brand partnerships, find us at petcollective@tmbi.com","petcollective@tmbi.com","United States"
"Howcast","9400000","Emphasizing high-quality instructional video production, Howcast brings you leading experts and accurate, reliable information on topics ranging from makeup tutorials, cute hairstyles, and nail art designs to soccer tricks, parkour, and skateboarding, plus how to dougie, how to kiss, and much, much more. Howcast empowers people with engaging, useful how-to information wherever, whenever they need to know how.","help@howcast.com","United States"
"Joey Graceffa","9380000","Welcome to the official YouTube channel of Joey Graceffa! On my channel, you’ll find a variety of entertaining content from vlogs, lifestyle tips, animal content, social experiments and content catered not just for the LGBTQ community but for everyone! If you love all things dogs and cats, fascinating vlogs, LGBTQ content and a wide variety of gaming content this is the channel for you! Make sure to subscribe and enable ALL notifications, and for instant updates, check out my social media accounts below.","","United States"
"Kalogeras Sisters","8860000","Business: Kalogeras@Night.co","Kalogeras@night.co",""
"Wilderness TV","7830000","Wilderness TV is a channel about rescuing and caring for animals, and building safe, beautiful homes for them by hand using mud, clay, and natural materials.

On this channel, I rescue puppies, dogs, cats, rabbits, and other animals from unsafe places, then create peaceful environments where they can live comfortably. Every house, shelter, and playground is built with simple tools and traditional techniques, inspired by ancient and natural building skills.

My purpose is to show people around the world that animals deserve protection, care, and love. Through these projects, I also share my creativity and ideas for pet house building, animal shelters, and outdoor animal spaces.

All animals in my videos are cared for responsibly and live in a safe countryside environment near me, not in the wild jungle.

Thank you for supporting animal rescue and handmade building projects.","","India"
"Peekaboo Kidz","7800000","Dive into a world of curiosity and discovery with Peekaboo Kidz! Our channel offers engaging and educational content designed to spark young minds. Join our beloved character, Dr. Binocs, as he explores fascinating topics in science, nature, and the world around us. From understanding natural resources to the importance of measurements, our videos make complex concepts accessible and entertaining for children.

With vibrant animations and clear explanations, Peekaboo Kidz is a trusted resource for parents and educators seeking quality educational content. Subscribe now and embark on a fun-filled learning journey!

For brand collaborations and inquiries, reach out to us at: mail@rajshri.com","mail@rajshri.com","India"
"Animal Aid Unlimited, India","7230000","Animal Aid Unlimited is a leading street animal rescue center in India. Our hospital and sanctuary are home to more than 15,000 rescued and recovering animals each year. 

Please share our videos to support street animal rescue! 

Every donation, no matter how small, makes our life-saving rescues possible. Thank you for joining our rescue team.","","India"
"CBS News","7090000","CBS News is a trusted source for the latest in politics, U.S. and world news. The network is home to award-winning broadcasts CBS Mornings, CBS Evening News, 60 Minutes, CBS Sunday Morning, 48 Hours and Face the Nation.

CBS News 24/7 is the premier anchored streaming news service from CBS News and Stations that is available free to everyone with access to the internet and is the destination for breaking news, live events, original reporting and storytelling, and programs from CBS News and Stations' top anchors and correspondents working locally, nationally and around the globe. It is available on more than 30 platforms across mobile, desktop and connected TVs for free, as well as CBSNews.com and Paramount+ and live in 91 countries.

Subscribe to our YouTube channel for breaking news, live events and in-depth reporting from CBS News.

For licensing inquiries, contact: licensing@veritone.com","licensing@veritone.com","United States"
