"频道名称","粉丝数","简介","邮箱","国家"
"The Dodo","18800000","The home for animal people.","","United States"
"Insider","9600000","Insider is a video channel brought to you by Business Insider, a global newsroom covering business, technology, and the economy. We help ambitious, curious people understand the world and get ahead in it.

Videos posted to this channel cover how people live and work around the world—across careers, money, food, travel, and everyday life. We publish new videos weekly.

Our videos show what it’s like to do different jobs, how industries work, and how people make a living—from entry-level roles to high-paying careers. Shows include How Crime Works, Authorized Account, and How Real Is It?

Expect documentaries, explainers, and behind-the-scenes videos about the jobs, industries, and culture shaping how we live. 

Visit our homepage for the top stories of the day: https://www.businessinsider.com/

If you have a permissions or licensing request, please contact PARS International: https://www.parsintl.com/publications/insider/","","United States"
"TLC","8700000","Offering remarkable real-life stories without judgment, TLC shares everyday heart, humor, hope and human connection with programming genres that include fascinating families, heartwarming transformations and life’s milestone moments.","","United States"
"Dr. Harish Grover","8000000","Dr. Harish Grover – Posture & Spine Alignment Specialist | Best Chiropractor in India 🇮🇳.

Get expert chiropractic and spine alignment treatment from Dr. Harish Grover, a renowned Chiropractor in Gurgaon and founder of Painflame Clinic.

Book Your Appointment Today
📍 Sector 38, Gurgaon (In-Clinic):  +91-8505830784    |   +91-9560634383
📍 Paschim Vihar, Delhi (In-Clinic):  +91-8796301110
 💻 Online Video Consultation:  +91-9205995900

Follow us: 
🌐   www.painflame.com
        www.instagram.com/painflameclinic/ 
         www.facebook.com/chiropractorharishgrover/

 Dr. harish grover social media :
       www.instagram.com/drharishgroverchiropractor/
        www.facebook.com/drharishgroverchiropractic

Email : painflameclinic@gmail.com
Address : P195, Medicity, Sector 38, Gurugram, Haryana 122003

DR. HARISH GROVER
Ph.D. ( Spine )
M.Chiro, CCE ( USA )
DO ( Osteopathy )
Certified Chiropractor
Registered Osteopath","growwithus@painflame.com; painflameclinic@gmail.com","India"
"The Try Guys","7860000","join us on 2ndtry.tv for exclusive shows and early access!
merch: tryguys.com
business inquiries: 2ndtrybusiness@gmail.com","2ndtrybusiness@gmail.com","United States"
"Dr.Rajneesh Kant","7380000","Dr. Rajneesh Kant is a renowned Chiropractor, Osteopath and Physiotherapist with over 22 years of experience in helping people understand, manage and overcome pain and movement-related problems.

On this channel, Dr. Rajneesh Kant shares practical and easy-to-understand information about:

- Back & Neck Pain
- Sciatica
- Joint Pain
- Knee & Shoulder Problems
- Headaches & Migraine
- Posture & Sitting Problems
- Sports Injuries
- Spinal Health & Mobility
- Physiotherapy & Rehabilitation
- Chiropractic & Osteopathic care
- Everyday habits that can contribute to pain

His mission is simple: “Dard Mukt Bharat” — A Pain-Free India.

Dr. Rajneesh Kant
Chiropractor | Osteopath | Physiotherapist
22+ Years of Experience | Mission: Dard Mukt Bharat

Address:-
150 meters East from Beur more Shivpuri Main Bypass road 
Patna - 800002

(MUMBAI  Clinic Contact Number - +919137352377)

Toll Free Number - 18005718777 
Patna Contact Details - +919308511357, +918409313131","rajnish8989@gmail.com","India"
"Xiaomanyc 小马在纽约","7110000","I'm Xiaoma, a polyglot who has studied dozens of languages. Until the age of 18 I grew up speaking exclusively English, and then I got the chance to learn Mandarin and live in Beijing for a year where I fell in love with Chinese food, language, and culture. This expanded my appetite to learn about cultures, foods, and languages from all around the world and now I share this passion with all of you!

You can learn more about my language journey on my language learning channel ariinbeijing: https://www.youtube.com/user/ariinbeijing

And if you want to learn a language with me: https://www.streetsmartlanguages.com/","","United States"
"We Love Animals","6610000","Welcome to We Love Animals — we share animal rescue stories, incredible wildlife encounters, and inspiring pet adoption stories from around the world.

We believe every animal deserves kindness and compassion. From dog and cat rescue videos to amazing wildlife footage and rehabilitation stories — we share the moments that remind us why animals make the world a better place.

We talk to animal heroes that have dedicated their lives to animal welfare. We tell stories about rehabilitation, adoption, fostering, and rescue. 

We Love Animals is part of Newsner, a global digital news platform.

Follow us on:
📘 Facebook: https://www.facebook.com/TheAnimalClub.net
📸 Instagram: https://www.instagram.com/weloveanimals_newsner/
🎶 TikTok: https://www.tiktok.com/@weloveanimals_official

We love animals! ❤️ 🐾","","Sweden"
"UNTV News and Rescue","5500000","Your public service channel.

UNTV, formally known by two brands as UNTV News and Rescue and UNTV Public Service, is the flagship Philippine television network of the Progressive Broadcasting Corporation (PBC), together with Breakthrough and Milestones Productions International, Inc. (BMPI), the network's content provider and marketing arm.  UNTV is one of the most trusted and successful Philippine networks that guarantees wholesome and quality viewing experience. Devoted to sensible broadcasting, highlighting alternative and intelligent programs, UNTV acknowledges the role played by media in the enrichment of life, culture, thinking and identity of Filipinos around the world. Programs at UNTV are designed to reflect positive spirit and values, that adhereto safeguarding media freedom and responsibility to delivering free, responsible and responsive network.","info@untvnewsandrescue.com; info@untvweb.com","Philippines"
"Good Morning America","5500000","Good Morning America brings you the latest breaking news, expert analysis, helpful advice for everyday living, recipes from the best chefs in the country and live performances from the best musicians on television. Emmy® Award-winning “Good Morning America,” featuring the anchor team of Robin Roberts, George Stephanopoulos, Michael Strahan and chief meteorologist Ginger Zee, airs live 7:00-9:00 a.m. EDT on ABC.","","United States"
