"频道名称","粉丝数","简介","邮箱","国家"
"TEDx Talks","44600000","TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.","","United States"
"TED","27800000","The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less) — plus originals, podcasts and exclusive content. Look for videos on Technology, Entertainment and Design as well as science, business, global issues, the arts and more.

Visit https://TED.com for our entire library, transcripts, translations and personalized recommendations.

TED videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with the TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), submit a request at https://media-requests.ted.com","","United States"
"Real Madrid","21300000","⚽️🏆🌍 Welcome to Real Madrid C.F.'s official YouTube channel. Real Madrid is the most successful club in the history of football. Enjoy the best Real Madrid content here - highlights, behind-the-scenes access, training sessions, goals, historic action and much, much more!

⚽️🏆🌍 Bienvenido al canal oficial de YouTube del Real Madrid C.F.. El Real Madrid es el club más exitoso de la historia del fútbol. ¡Disfruta de los mejores goles, highlights, trucos, nuevos jugadores, entrenamientos, contenido social y mucho más!","atencionpublico@corp.realmadrid.com; areainternacional.fundacion@corp.realmadrid.com; areavip@realmadrid.es; comunicacion.fundacion@corp.realmadrid.com; correo.fundacion@corp.realmadrid.com; escuelas.fundacion@corp.realmadrid.com; eventos.fundacion@corp.realmadrid.com; madridistas.junior@corp.realmadrid.com; madridistas.platinum@corp.realmadrid.com; madridistas.premium@corp.realmadrid.com; madridistas@corp.realmadrid.com; oap@corp.realmadrid.com; oas@corp.realmadrid.com; patrimoniohistorico@corp.realmadrid.com; postgrado@uem.es; presidencia@corp.realmadrid.com; pruebasfutbol@corp.realmadrid.com; tour@corp.realmadrid.com; voluntariosfundacionrealmadrid@corp.realmadrid.com","Spain"
"WIRED","13000000","For future reference.","","United States"
"RegisteredNurseRN","5580000","Nurse Sarah provides NCLEX reviews, skills, school tips, & career help for students and nurses via RegisteredNurseRN.com. Please SUBSCRIBE & share our videos with others!

Nurse Sarah (BSN, RN) graduated from nursing school in 2009 with honors. She passed NCLEX on her first try & has worked as a bedside nurse in a variety of settings, including progressive care (PCU), telemetry, and medical-surgical. In addition, she has worked in non-invasive cardiology as a stress lab nurse and charge nurse.

Nurse Sarah has trained many students on the job, and she has taught millions of viewers through her website and YouTube channel. Her true passion is teaching students and helping new nurses succeed. She is also a Christian, wife, and mother to her two sons. 

This channel is for educational purposes only and is not intended as medical advice. While we strive for 100% accuracy, errors may occur, and medications and protocols do change over time.","contact@support.nursesarah.com","United States"
"Bob & Brad","5480000","Introducing the dynamic trio—Bob Schrupp, Brad Heineck, and the newest addition, Mike—the ""Most Famous Physical Therapists on the Internet""! With a combined experience of over 60 years in the physical therapy field, these seasoned experts bring you the best advice, tips, and information on how to get fit, stay healthy, and live pain-free—from the comfort of your home.
While Bob may no longer be on the screen, he continues to share his expertise from behind the scenes, and now, Mike joins the on-screen action. Our videos cover a wide range of topics suitable for everyone, from age 0 to 101. Whether you're looking for self-treatment techniques or simply seeking health-related insights, Brad, Bob, and Mike have you covered.
With a twist of humor in each video, we aim to make your health journey enjoyable. Don't miss out on the fun—subscribe to our channel and join us in the pursuit of a healthy, fit, pain-free life!

As  Amazon Associates, we earn from qualifying purchase","","United States"
"NBC Sports","5410000","NBC Sports serves sports fans 24/7 with premier live events, insightful studio shows, and compelling original programming. NBC Sports is an established leader in the sports media landscape with an unparalleled collection of sports properties that include the Olympics, NFL, NBA, MLB, Premier League, Big Ten, PGA Tour, the Kentucky Derby, Tour de France and many more. Subscribe to our channel for the latest sporting news and highlights!

Visit NBC Sports: https://www.nbcsports.com
Find NBC Sports on Facebook: https://www.facebook.com/NBCSports
Follow NBC Sports on Twitter: https://twitter.com/nbcsports
Follow NBC Sports on Instagram: https://www.instagram.com/nbcsports/","","United States"
"Doc Jun Reyes","4206274","Dr. Jun Reyes background 

Dr. Juanito Reyes PT DPT received his bachelor of Physical Therapy from Emilio Aguinaldo College in 1999. He has worked in multiple settings such as orthopedic, neurological, and geriatrics for more than 10 years. Dr. Reyes is a board certified physical therapist in both Philippines and NY, USA and his graduate work includes Transitional Doctoral Degree in Physical Therapy from Stony Brook University and received S. Herdman vestibular rehabilitation training from Emory University.

All content found on the Doc Jun Reyes channel including: text, images, audio, video or other formats were created for informational purposes only.The Content is not intended to be a substitute for professional medical advice, diagnosis, or treatment. 

Dr Reyes Liniment cream Available Now! Hurry..Philippines 🇵🇭Click here -➡️ https://shp.ee/epfii89

Follow us on Facebook-👉🏼  
https://m.facebook.com/drjunreyespt","","United States"
"Tone and Tighten","3300000","Hi - I'm Jared! I am a doctor of physical therapy who specializes in rehabilitating orthopedic (back, neck, shoulder, knee, etc) and postpartum (diastasis recti) conditions. I love being fit, healthy, strong, and active, and hope to help you accomplish your fitness goals. On this channel you'll learn best treatments for common injuries through exercising and stretching, and how to become a fitter, healthier version of yourself. Please consider subscribing!

DISCLAIMER: The content on this channel is NOT medical advice and is intended for general education and demonstration purposes only. This content should not be used to self-diagnose or self-treat any health, medical, or physical condition. You agree to indemnify and hold harmless T&T Digital Media, LLC and its officers for any and all losses, injuries, or damages resulting from any and all claims that arise from your use or misuse of this content. Use of this content is at your sole risk.","","United States"
"AskDoctorJo","2470000","Hi, I'm Doctor Jo, a Physical Therapist and Doctor of Physical Therapy. My videos demonstrate proper techniques for some of the best stretches & exercises to help relieve common pains like knee pain, neck pain, shoulder pain, back pain, arthritis, sciatica, fibromyalgia, and more.

Be safe, have fun, and I hope you feel better soon!

DISCLAIMER: This content is for informational purposes only. It is general in nature and is not intended to be medical advice, nor does using it create a physical therapist-patient relationship with you. Before starting, consult your own healthcare provider for a proper diagnosis and to ensure this content and any included products are safe and appropriate for your own medical and physical condition. Stop immediately if you experience pain. Ask Doctor Jo, LLC makes no representations about the accuracy or suitability of this content for you. By voluntarily using this content, you assume all risks for any resulting losses, injuries, or damages.","","United States"
"TvAgro","2410000","En este canal aprenderás de todo lo relacionado con el AGRO! 🌱🐮🌿🐶🐤🐟🌳🐷🍍🐯
#TvAgroTeAcercaAlCampo 💚
De Colombia para el mundo 🌎","","Colombia"
"HASfit","2290000","Join Coach Kozak and Claudia through over 1,000 on-demand home workout routines and exercise plans for all goals.

• Named “Top Fitness App” for 10 years straight
• 99% approval rating on over 1 Billion completed workouts

Become the best version of you with the free HASfit app:

• Home workout routines for all fitness levels (limited mobility, senior, beginner, intermediate, advanced)
• Get up to 2x faster results by following a complete fitness plan
• Stream your workouts to your TV using your Chromecast, Roku, Amazon Fire, or AppleTV
• Search to find your perfect workout from 3 – 60 minutes
• Modifications to help you customize the workout for your specific needs
• Save your favorite routines for easy access later
• Exercise with dumbbells or no equipment

Discover new workouts added each week:
• Fat Burning
• HIIT & Tabata
• Muscle Building
• Cardio
• Strength Training
• Low Impact
• Kickboxing and MMA
• Kettlebell
• Flexibility and Yoga

Find Complete Workout Plans and Programs!","contact@hasfit.com; support@hasfit.zohodesk.com","United States"
"The Doctors","1960000","The Doctors is an Emmy award-winning daytime talk show now in its 13th season!

The Doctors helps you understand the latest health headlines, delivers exclusive interviews with celebrities dealing with health issues, debates and investigates health and safety claims, explains the latest viral videos and how you can avoid emergency situations, and serves up celebrity chefs to share the hottest and healthiest recipes and foods.","",""
"Sukoon physical therapy","1900000","Sukoon Physical Therapy run by Dr. Varun Wasil
BPT, MPT(orthopaedics)
Deals with the treatment of all musculoskeletal problems with Physiotherapy which includes electrotherapy, exercise therapy and manual therapy. This Physiotherapy clinic in Jalandhar provides services like diagnosis and treatment of the following :-
Treatment available for
*Back Pain
*Slip Disc
*Sciatica
*Cervical Spondylitis
*Knee Pain
*Heel Pain
*Arthritis
*Frozen Shoulder
*Bell's Palsy
*Tennis Elbow
*Sports Injuries
*Muscle & Joint Pain

This channel provides healthy information related to physiotherapy or physical therapy and also about fitness exercises for weight loss

Dr.Varun Wasil 
BPT, MPT(ORTHO)
Consultant Physiotherapist
255, Shaheed Udham Singh Nagar, Jalandhar
for appointment - 9530766255
email- dr.varunwasil@gmail.com
sukoon.physical.therapy@gmail.com
fb-www.facebook.com/SukoonPhysicalTherapy
Youtube-www.youtube.com/sukoonphysicaltherapy","dr.varunwasil@gmail.com; sukoon.physical.therapy@gmail.com","India"
"Will Harlow – Over-Fifties Specialist Physio","1840000","Welcome to the channel that gives hope, help and healing to people over 50. I'm Will Harlow – a physiotherapist, clinic owner, and bestselling author on a mission to help 100 million over-fifties break free from pain, move with confidence, and stay independent for life.

Whether you're here to beat joint pain, improve your strength, or finally feel in control of your health again – you're in the right place. Through my videos, book, Lifelong Mobility program, or in-person treatment at my UK clinic, I've helped thousands of over-fifties to avoid painkillers and surgery – even when they've been told there's no other option.

You can explore ways to work with me or download your 100% free Stronger for Life Roadmap (an exercise plan tailored to your level of strength and mobility) below:","","United Kingdom"
"Med School Insiders","1810000","Med School Insiders helps premed and medical students make smarter decisions about careers in medicine.

We cover the big picture of the medical journey, including admissions strategy, medical school, residency, specialty choice, physician lifestyle, and long-term career fulfillment. Our content is evidence-based, data-driven, and focused on helping students avoid costly mistakes while building sustainable, satisfying careers.

Narrated by Kevin Jubbal, MD.","","United States"
"Rehab Science","1772593","Dr. Tom Walters, DPT • Orthopedic Physical Therapist • Learn How to Alleviate Pain & Move Better

Hi everyone! I am a Doctor of Physical Therapy (DPT) and a board-certified Orthopedic Clinical Specialist (OCS) who focuses on teaching people how to use movement and exercise to alleviate pain, recover from injuries and move better. 

My book (Rehab Science: How to Overcome Pain and Heal from Injury) is now available and contains rehab exercise programs for the 50 most common injuries and pain issues. The book can be ordered on Amazon or Barnes & Noble. If you live internationally, blackwells.com ships to most other locations.","","United States"
