"频道名称","粉丝数","简介","邮箱","国家"
"Cuddle Buddies","891000","Helow! Please, subscrab 🐾 to our channel 💚

Cuddle Buddies is where animals find their unique voices. They can be goofy and deep, we just let the animals speak. 

We create videos of amazing animals, and show how animals see the world around them. Heartbreaking stories, funny animal videos, rescue missions — with a fresh perspective. All the stories published on Cuddle Buddies were created together with the animal owners, with their permission and involvement. 

Cuddle Buddies was created in 2022 under the leadership of Iegor Bakhariev. And we are proud to see how the project grew from a small YouTube channel to one of the biggest animal media. Every day our team is working on bringing unique animal stories to the public. Please support us if you can. 

We’re constantly searching for new stories and new partnerships. So if you are an animal organisation, a media or you have a story to tell, you can reach out to us by the links bellow.👇","iegor.bakhariev@gen.tech; olena.kononchuk@gen.tech; cuddlebuddies.channel@gmail.com","United States"
"SeniorShape Fitness","877000","Hello and welcome to SeniorShape with Lauren! I’m thrilled you have found my channel! I am an ACE (American Council on Exercise) certified fitness instructor. I also hold a specialization in senior fitness. 
It is my passion to create fun, new exercises and routines that are never boring. 
My videos are easy to follow and the exercises featured are specifically curated for beginners, and active older adults. The workouts are challenging and at a great pace that works well for anyone. 
Please subscribe so you never miss a new workout.

https://www.seniorshape.com

Equipment I use or recommend can be purchased on my Amazon store page www.amazon.com/shop/seniorshapefitness
*as an Amazon associate/influencer I earn from qualifying purchases

For those who have graciously asked to donate so I can continue to provide free videos can contribute through 
Venmo: @SeniorShape
I appreciate your support!

Thanks for working out with me!
Lauren","seniorshapewithlauren@gmail.com","United States"
"FOX 9 Minneapolis-St. Paul","834000","Minneapolis-St. Paul breaking news, Minnesota weather, traffic and sports from FOX 9, serving the Twin Cities metro, Greater Minnesota and western Wisconsin. Official home of Minnesota Vikings football.","bill.greep@fox.com; fox9news@fox.com; fox9news@foxtv.com; jason.sirek@fox.com; Master.Control9@fox.com; nate.zinnel@fox.com; programming9@fox.com","United States"
"Australia Zoo","820000","Welcome to the official Australia Zoo YouTube Channel. Here you can stay up-to-date with all things Australia Zoo, the Irwin family and Wildlife Warriors. Come along on a wild ride with us as you gain access to Irwin adventures, never before seen Crocodile Hunter footage and loads more. Join our Australia Zoo family and dive into missions with the Wildlife Warriors team on the frontline. Steve and Terri Irwin’s vision has always been to make Australia Zoo the biggest and best wildlife conservation facility in the world. 

New content posted every week! Subscribe for free to the ultimate video experience for all Wildlife Warriors.","info@australiazoo.com.au","Australia"
"Gareth Leonard","792000","Insider Updates & Travel Hacks👇","hello@garethleonard.com","United States"
"Cleveland Clinic","755000","Cleveland Clinic is a nonprofit multispecialty academic medical center. Founded in 1921, it is dedicated to providing quality specialized care and includes an outpatient clinic, a hospital with more than 1,000 staffed beds, an education division and a research institute.","editorial@ccf.org; healthessentials@ccf.org","United States"
"CNN Business","748000","Welcome to CNN Business on YouTube. We cover the companies, personalities, and innovations that are driving business forward.","copyrightagent@turner.com",""
"FOX 26 Houston","738000","Houston area news, weather, traffic, sports and breaking news from FOX 26 Houston. Watch news and local programming daily from KRIV.","jarrett.hale@fox.com; KRIVWEBDEPT@fox.com; KRIVWEBDEPT@foxtv.com; FOX26HoustonNews@fox.com; fox26houstonnews@foxtv.com; ralph.rendon@fox.com; ralph.rendon@foxtv.com","United States"
"Dr. Jon Saunders","709000","Welcome to the official YouTube channel of Dr. Jon Saunders, BKin, DC – your trusted source for natural health information. Based in Newmarket, Ontario, I’m in private practice with over 25 years of experience in chiropractic, kinesiology, fitness, and rehabilitation.

Get expert tips on:
• Neck pain, back pain, and sciatica
• Cervicogenic dizziness, vertigo, and headaches
• Posture correction and spinal decompression
• Neck strengthening and disc bulge relief
• Natural health, nutrition, and biomechanics

My goal is to help you move better, feel better, and live pain-free—without drugs or surgery.

Subscribe for weekly videos and take control of your health today.

👉 Subscribe and join a community committed to living stronger, longer, and pain-free:
https://www.youtube.com/c/ChiropracticonEagleNewmarket?sub_confirmation=1

Want extra perks? Join here: https://www.youtube.com/channel/UCnTpcPc8C6NvX718XsRPBzA/join","team@chirofirst.ca","Canada"
"WUSA9","627000","WUSA9 (Washington, D.C.) is your source for breaking news, D.C. area weather, traffic, and live coverage in the nation’s capital and surrounding communities. Get the latest updates from the WUSA9 team — from major local headlines and investigations to severe weather, community stories, and the moments everyone’s talking about.
Watch live newscasts, stream breaking coverage, and catch up on the top stories shaping Washington, D.C., Northern Virginia, and suburban Maryland.

Subscribe for:
• D.C. area breaking news + live updates
• Weather forecasts and severe weather alerts
• Investigations and accountability reporting
• Community stories across the region
• Major events, sports, and local explainers

WUSA9 — Washington, D.C. news and weather, live and on demand.

🔗 More: https://www.wusa9.com
🔗 Stream on your TV: https://www.tv.wusa9.com","TEGNA@nimia.com","United States"
