"频道名称","粉丝数","简介","邮箱","国家"
"MrBeast","517000000","SUBSCRIBE FOR A COOKIE!
New MrBeast or MrBeast Gaming video every single Saturday at noon eastern time!
Accomplishments:
- Raised $20,000,000 To Plant 20,000,000 Trees
- Removed 30,000,000 pounds of trash from the ocean
- Helped 2,000 people walk again
- Helped 1,000 blind people see
- Helped 1,000 deaf people hear
- Built wells in Africa
- Built and gave away 100 houses
- Adopted every dog in a shelter (twice)
- Given millions to charity
- Started my own snack company Feastables
- Started my own software company Viewstats
- Gave away a private island (twice)
- Gave away 1 million meals
- I counted to 100k
- Ran a marathon in the world's largest shoes
- Survived 50 hours in Antarctica
- Recreated Squid Game in real life
- Created the largest competition show with 1000 people (Beast Games)
- Gave $5,000,000 to one person
- Raised $40,000,000 To Bring Clean Water To Millions Of People
- Granted 100+ Dream Wishes for Kids Fighting Cancer
- Gave Away Another $5,000,000 On Beast Games S2","","United States"
"Toys and Colors","83000000","Hello friends! Welcome to Toys and Colors where KIDS RULE and adults drool…just kidding…we love our Aunties and Uncles!

Click on the SUBSCRIBE button and come join us in our fun and colorful universe where we pretend play, use our imagination, sing, dance, and have a great time with friends, family, and lots of TOYS!

We have millions of fans all over the world who enjoy our fun kids videos about: being a good brother and sister, DIY science experiments, eating healthy, washing your hands, numbers, ABCs, animals, nursery rhyme songs,  fun challenges, camp adventures, and much more!

Are you ready? LET’S PRETEND PLAY!","","United States"
"Genevieve's Playhouse - Learning Videos for Kids","51000000","Welcome to Genevieve’s Playhouse where we create all kinds of educational videos for kids and toddlers using toy based learning. Come along as Genevieve plays with characters from Paw Patrol and Peppa Pig, while learning counting numbers, basic words, and storytelling skills. Our video formats span from vlogs, skits, animations, and experiments. Videos are offered in English, Spanish, Hindi, and Vietnamese.

Genevieve's Playhouse is a safe, and kid-friendly channel that parents can trust to provide educational content for their little ones.","","United States"
"★ Kids Roma Show","45500000","Welcome to Roma and Diana world - where Roma, Diana, little Oliver and their parents play, learn, sing, explore and share their life experiences. Millions of kids and families from all over the world join Diana and Roma every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and much more.
All rights reserved. This visual production contains original artistic content and ideas and is protected by U.S. and international laws. Reproduction and distribution of this visual presentation without written expressed permission of the copyright holder/ author is prohibited.
E-mail: dianaromabiz@gmail.com","dianaromabiz@gmail.com","United States"
"TEDx Talks","44600000","TEDx is an international community that organizes TED-style events anywhere and everywhere -- celebrating locally-driven ideas and elevating them to a global stage. TEDx events are produced independently of TED conferences, each event curates speakers on their own, but based on TED's format and rules.

For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request here: https://media-requests.ted.com.","","United States"
"BabyBus - Preschool Songs & Learning Cartoons","44000000","At BabyBus, our goal is to make learning a fun and imaginative experience for kids aged 2 - 6 by creating classic nursery rhymes, kid songs, and stories with 2D & 3D animations. 

In the BabyBus world, KiKi, Miumiu, and their friends inspire kids to experience true friendship, care, creativity, and imagination in a fun and smart way. Through our songs and animations, kids around the world can learn about colors, letters, life skills, good habits, safety tips, and more in a fun and educational way.

In the eyes of Kiki and Miumiu, all things are alive: you can talk to animals, you can make friends with vehicles... All the activities can be enjoyed, you can experience different occupations, you can go everywhere... All the unknowns are interesting: what will be in space? Are there aliens on earth?... Join Kiki and Miumiu for the exploration of this world together!

Yes! Neo Official Facebook: https://www.facebook.com/yesneoofficial","","United States"
"jacksepticeye","31200000","I play videogames but I also make other content like Try not to laugh, reacting to tik toks, meme review and IRL content. A lot of people come to my channel for long let's plays, especially for Sony Exclusive games from Playstation.","info@topofthemornincoffee.com","Ireland"
"Sesame Street","30300000","Welcome to Sesame Street! A colorful community of monsters, birds, grouches, and humans. A place where everyone counts. Spend time with all your favorite furry friends and subscribe for new videos every week. 

For more fun games and videos for your preschooler in a safe, child-friendly environment, visit us at http://www.sesamestreet.org. 

With a signature mix of laughter and learning, Sesame Street has been enriching minds and bringing families closer for five decades. Rigorously researched and deeply inclusive, Sesame Street has become the most-watched children’s program in history. For more information, please visit sesameworkshop.org.","","United States"
"Diana and Roma EN","30000000","Diana and Roma english
Welcome to Diana and Roma world - where Diana, Roma, little Oliver and their parents play, learn, sing, explore and share their life experiences. Millions of kids and families from all over the world join Diana and Roma every day to explore the world and learn about songs, numbers, nature, colors, shapes, animals, and the importance of eating healthy food, washing hands, being a good friend, and much more.
All rights reserved. This visual production contains original artistic content and ideas and is protected by U.S. and international laws. Reproduction and distribution of this visual presentation without written expressed permission of the copyright holder/ author is prohibited.

E-mail: dianaromabiz@gmail.com","dianaromabiz@gmail.com","United States"
"TED","27800000","The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less) — plus originals, podcasts and exclusive content. Look for videos on Technology, Entertainment and Design as well as science, business, global issues, the arts and more.

Visit https://TED.com for our entire library, transcripts, translations and personalized recommendations.

TED videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with the TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), submit a request at https://media-requests.ted.com","","United States"
"Blippi - Educational Videos for Kids","27500000","Come explore the wondrous world with everybody's best friend, Blippi. How does a recycling truck work? What does a baker do? What is the best playground around? There are so many exciting things to explore and learn. Feed your kids’ curiosity while they learn about vehicles, animals, the natural world and so much more. Blippi helps children‘s understanding of the world and encourages vocabulary development. Blippi loves visiting exciting places such as children’s museums and the zoo! He loves singing, dancing, playing and exploring. His contagious curiosity engages young viewers in learning adventures that help them both grow and develop.

Music ► https://blippi.lnk.to/BlippiCompleteCollectionYT
Facebook ► https://www.facebook.com/Blippi 
Instagram ►https://www.instagram.com/Blippi
TikTok ► https://www.tiktok.com/@blippi
Moonbug ► https://www.moonbug.com/about","hello@moonbug.com; partnerships@moonbug.com; press@moonbug.com","United States"
"National Geographic","26400000","Step into wonder and find your inner explorer with National Geographic. 

National Geographic is the world's premium destination for science, exploration, and adventure. Welcome to the National Geographic community, where we bring our stories, images and video to the world in real-time, inviting followers along on our ongoing 138-year journey. Our yellow border is a portal to the world, showcasing all of the wonder and beauty that it has to offer. This page allows our fans to join us while promoting an enriching and supportive climate for our community. Therefore, we do not tolerate words of hate, harassment or disparagement. We reserve the right to remove any posting or other material that we find off-topic, inappropriate or objectionable.","","United States"
"Netflix Jr.","26300000","Welcome to the official Netflix Jr. channel! Where kids can learn, sing and play with their favorite Netflix characters - from StoryBots to Super Monsters and everyone in between.

About Netflix:
Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.","",""
"CookieSwirlC","21400000","⋆◕‿◕⋆ 
Hi I’m Cookie. 
Welcome to CookieSwirlC: I’m a lifelong collector who loves diving into scary games, haunted stories, and creative art junk journaling. I also love testing out new miniatures, craft kits, and collectibles— whether they’re spooky, nostalgic, or just plain weird.  Come join the fun!

🍪 TWITER: @cookieswirlc

CookieSwirlC does NOT have a Roblox star code, Facebook, Snapchat , TikTok, or PO Box address ! Be smart and safe online!

_____________________
Virtual Youtuber Avatar Art by Twitter Artist : @rin7914
Avatar Rigged by Live2D Twitter : @iron_vertex (@sei_soy & @Zenseikun) 
Banner, logo, intro/outro art: UwU Media","","United States"
"Ms Rachel - Toddler Learning Videos","21300000","Toddler Learning Videos and Baby Learning Videos with a real teacher, Ms Rachel! Ms Rachel uses techniques recommended by speech therapists and early childhood experts to help children learn important milestones and preschool skills! You can trust Ms Rachel to provide interactive, high quality screen time!

Ms Rachel also gets kids moving through fun nursery rhymes & kids songs videos! Her videos for toddlers are informed by research and are full of learning standards that will help preschoolers thrive! Ms Rachel loves teaching letters, numbers, colors, animal sounds and more! She also has learn to talk videos and incorporates sign language!

Ms Rachel has a masters in music education from NYU and is almost finished a second masters in early childhood education. Parents and children can watch and learn together. Ms Rachel loves to teach and loves your wonderful family! Let's learn, grow and thrive!","","United States"
"Real Madrid","21300000","⚽️🏆🌍 Welcome to Real Madrid C.F.'s official YouTube channel. Real Madrid is the most successful club in the history of football. Enjoy the best Real Madrid content here - highlights, behind-the-scenes access, training sessions, goals, historic action and much, much more!

⚽️🏆🌍 Bienvenido al canal oficial de YouTube del Real Madrid C.F.. El Real Madrid es el club más exitoso de la historia del fútbol. ¡Disfruta de los mejores goles, highlights, trucos, nuevos jugadores, entrenamientos, contenido social y mucho más!","atencionpublico@corp.realmadrid.com; areainternacional.fundacion@corp.realmadrid.com; areavip@realmadrid.es; comunicacion.fundacion@corp.realmadrid.com; correo.fundacion@corp.realmadrid.com; escuelas.fundacion@corp.realmadrid.com; eventos.fundacion@corp.realmadrid.com; madridistas.junior@corp.realmadrid.com; madridistas.platinum@corp.realmadrid.com; madridistas.premium@corp.realmadrid.com; madridistas@corp.realmadrid.com; oap@corp.realmadrid.com; oas@corp.realmadrid.com; patrimoniohistorico@corp.realmadrid.com; postgrado@uem.es; presidencia@corp.realmadrid.com; pruebasfutbol@corp.realmadrid.com; tour@corp.realmadrid.com; voluntariosfundacionrealmadrid@corp.realmadrid.com","Spain"
"ABC News","19800000","ABC News is your daily source for breaking national and world news, exclusive interviews and 24/7 live streaming coverage that will help you stay up to date on the events shaping our world. https://abcnews.com","","United States"
"CNN","19800000","CNN is the world leader in news and information and seeks to inform, engage and empower the world. Staffed 24 hours, seven days a week by a dedicated team in CNN bureaus around the world, CNN delivers news from almost 4,000 journalists in every corner of the globe.","","United States"
"The Game Theorists","19600000","Hello Internet! Welcome to GAME THEORY! If you’re like us, then you’ve probably wondered about the secrets hidden in your favorite games. We explore the vast lore of Minecraft, piece together the craziest FNAF conspiracies, and cover the whole world of indie gaming on this channel. Join the ORIGINAL Team Theorist and Level up by hitting subscribe!

For even more theories, check out our other channels: Food Theory, Film Theory, and Style Theory!

We have a strict policy on image use for our videos, which includes only using images licensed for reuse. If we use fanart we try to find a proper source to credit the artist, but sometimes things slip through. If you think we have used your art without your permission please let us know on the Game Theorist subreddit.","","United States"
"Come Play With Me","18000000","COME PLAY WITH ME is an educational kid friendly toy doll channel featuring parody videos with various characters: Elsa, Anna, Barbie and many more!
Subscribe, it's free and you will know when we upload a new video:)
Thank you for visiting and watching our videos!","","United States"
"BBC","15600000","The BBC is the world’s leading public service broadcaster.

We’re impartial and independent, and every day we create distinctive, world-class programmes and content which inform, educate and entertain millions of people in the UK and around the world.

SUBSCRIBE to our YouTube channel to get the best of BBC entertainment and comedy programmes, stories from science and nature documentaries, and much more! 👉 https://bit.ly/2IXqEIn

Get ALL your fresh TV, and sofa-hugging box sets on iPlayer 👉 https://bbc.in/2J18jYJ","","United Kingdom"
"Blippi Playtime","15300000","Get ready to play, learn, and explore with Blippi Playtime! The ultimate stop for fun and adventures! Watch and learn as Blippi answers your favorite questions: How does a recycling truck work? Can Blippi drive an excavator? What awesome games can we play at the indoor playground? From roaring dinosaurs and prehistoric fossils to arts and crafts, there are so many exciting things to learn through active play and sensory activities.

Feed your kid’s curiosity with STEM activities, wild animal facts, and super fun Roblox gaming! With high-energy sing-alongs and silly games, Blippi Playtime makes vocabulary development and early childhood education a total blast. Join the fun at the zoo, the children's museum, the trampoline park, or the giant ball pit. Learning colors, shapes, and numbers has never been this fun. 

Let's be curious with Blippi! 🧡💙","","United States"
"是曼玉不是鳗鱼 Littlemanyu","14200000","ABOUT MANYU
LITTLEMANYU is about the happy life of a Shiba Inu named MANYU. She hopes to experience every bit of beauty in the world with her loving dad and her adorable brother BAI (a West Highland White Terrier). We aim to share this beauty with everyone, wishing you all health, happiness, and carefree joy!🐾

This is the official YouTube channel of Littlemanyu. Kindly hit SUBSCRIBE and let's follow the adorable moments of Manyu and Bai together!

Discover More and Shop the Products We Love and Recommend for You and Your Furry Friends! Visit our Official Website🐶: www.manyuland.com 

Business Contact: bizmanyu@gmail.com","bizmanyu@gmail.com","Hong Kong"
"Inside Edition","13800000","Inside Edition is television's longest-running, top-rated, and most-honored syndicated newsmagazine. #1 in News and Politics on YouTube (Tubular Labs).","","United States"
"GameToons","12800000","Welcome to GameToons! We make animated cartoon parodies of your favorite games!","","United States"
"Kat","12300000","just a diva who loves games

🔲 ADD ME ON ROBLOX: @katrinaducks
https://www.roblox.com/users/3214877242/profile

💌 CONTACT ME: kat@katbuno.com

FOLLOW ME ON OTHER SOCIALS!
❤️ instagram: @katrinabuno
👻 snapchat: @katrinabuno
🎶 tiktok: @katbuno
🐦 twitter: @katbuno

Hi and welcome to the official Kat YouTube channel! My name is Katrina Buno, but you can call me Kat! I post a variety of content including gaming videos, shorts, reactions and more!","kat@katbuno.com","United States"
"ItsFunneh","12100000","We're KREW! We play Roblox, Minecraft, and more!
Funny gaming videos, live streams, vlogs, and new videos every week.

If you enjoy our videos, subscribe and join KF!
Your support helps us continue to do what we love! :)","","United States"
"CaylusBlox","11200000","i play roblox here
subscribe and join the CAYLUS KINGDOM","","United States"
"LaurenZside","10400000","Welcome to the Z-Side of YouTube...it's a little weird here!!
Make sure to SUBSCRIBE!! I put out new videos every Thurs-Sun!!

My name is Lauren & I'm a self-proclaimed ""Gaming Comedian"".
I'm here to make you laugh whether with me or at me ;)","","United States"
"Howcast","9400000","Emphasizing high-quality instructional video production, Howcast brings you leading experts and accurate, reliable information on topics ranging from makeup tutorials, cute hairstyles, and nail art designs to soccer tricks, parkour, and skateboarding, plus how to dougie, how to kiss, and much, much more. Howcast empowers people with engaging, useful how-to information wherever, whenever they need to know how.","help@howcast.com","United States"
"Joey Graceffa","9380000","Welcome to the official YouTube channel of Joey Graceffa! On my channel, you’ll find a variety of entertaining content from vlogs, lifestyle tips, animal content, social experiments and content catered not just for the LGBTQ community but for everyone! If you love all things dogs and cats, fascinating vlogs, LGBTQ content and a wide variety of gaming content this is the channel for you! Make sure to subscribe and enable ALL notifications, and for instant updates, check out my social media accounts below.","","United States"
"Avocado Playz","8530000","👕Roblox Merch: https://www.roblox.com/communities/6343978/AvocadoPlayz-Squad#!/store
⭐PLAY ROBLOX USING MY LINK: https://www.roblox.com/join/avocado   #RobloxPartner
⭐USE STAR CODE: AVOCADO 
🎥 My Official TikTok: https://www.tiktok.com/@official_avocado_playz 
📧Business Email: avocadoplayz1@gmail.com
💌Fan Email: avocadoplayzfans@gmail.com
🎨 PNG Models made by: https://vgen.co/KoffeineYT/
🎵 SPOTIFY: https://open.spotify.com/artist/4nlWyvzuFsMUbjOsfHJxZG
🎮Roblox Profile: https://www.roblox.com/users/1375712725/profile
🥑Avocado Playz x","avocadoplayz1@gmail.com; avocadoplayzfans@gmail.com","United Kingdom"
